acceptedname	phylum	occurences	sti	sd	speciesname	taxonrank	infraspecificepithet	taxon_uri
Potamogeton berchtoldii	Tracheophyta	10437	6.72865113	3.386130122	Potamogeton berchtoldii	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/potamogetonberchtoldii
Carex viridula subsp. brachyrhyncha	Tracheophyta	10447	7.554426905	2.690743065	Carex viridula subsp. brachyrhyncha	SUBSPECIES		
Syntrichia montana	Bryophyta	10464	9.287822807	2.218760597	Syntrichia montana	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/syntrichiamontana
Atriplex portulacoides	Tracheophyta	10481	12.6807818	3.773532674	Atriplex portulacoides	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/atriplexportulacoides
Usnea subfloridana	Ascomycota	10494	6.108552987	3.429560132	Usnea subfloridana	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/usneasubfloridana
Lathyrus sylvestris	Tracheophyta	10499	8.187616965	2.920075382	Lathyrus sylvestris	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/lathyrussylvestris
Buxus sempervirens	Tracheophyta	10529	9.754110222	2.784210529	Buxus sempervirens	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/buxussempervirens
Mentha suaveolens	Tracheophyta	10535	11.24659071	3.342735081	Mentha suaveolens	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/menthasuaveolens
Salix phylicifolia	Tracheophyta	10577	2.523208175	3.140212731	Salix phylicifolia	SPECIES		
Samolus valerandi	Tracheophyta	10611	12.14113646	3.683572996	Samolus valerandi	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/samolusvalerandi
Sedum sediforme	Tracheophyta	10631	13.71115523	3.077858493	Sedum sediforme	SPECIES		
Dendrographa decolorans	Ascomycota	10637	8.006444085	1.952308111	Dendrographa decolorans	SPECIES		
Rumex thyrsiflorus	Tracheophyta	10677	7.361443898	2.510583874	Rumex thyrsiflorus	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/rumexthyrsiflorus
Pilosella aurantiaca	Tracheophyta	10686	6.553581461	2.871560571	Pilosella aurantiaca	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/hieraciumaurantiacum
Osmunda regalis	Tracheophyta	10698	10.15691856	2.752906379	Osmunda regalis	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/osmundaregalis
Ophrys apifera	Tracheophyta	10722	11.67243908	3.093869227	Ophrys apifera	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/ophrysapifera
Herniaria glabra	Tracheophyta	10746	8.522786724	3.063127968	Herniaria glabra	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/herniariaglabra
Sedum rupestre	Tracheophyta	10770	8.291126602	2.281071021	Sedum rupestre	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/sedumrupestre
Valeriana officinalis subsp. repens	Tracheophyta	10774	9.499169493	0.739045883	Valeriana officinalis subsp. repens	SUBSPECIES		
Dryas octopetala	Tracheophyta	10777	2.07995083	4.143239044	Dryas octopetala	SPECIES		
Descurainia sophia	Tracheophyta	10781	7.579247908	3.550595746	Descurainia sophia	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/descurainiasophia
Ulota phyllantha	Bryophyta	10788	7.483368155	2.345345309	Ulota phyllantha	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/ulotaphyllantha
Amaranthus retroflexus	Tracheophyta	10816	10.12488351	3.459512072	Amaranthus retroflexus	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/amaranthusretroflexus
Dactylorhiza majalis	Tracheophyta	10834	7.868049309	1.697082145	Dactylorhiza majalis	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/dactylorhizamajalissubspmajalis
Hypericum maculatum subsp. obtusiusculum	Tracheophyta	10842	8.751987434	1.208678744	Hypericum maculatum subsp. obtusiusculum	SUBSPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/hypericummaculatumsubspobtusiusculum
Schoenus nigricans	Tracheophyta	10845	11.10989948	3.596182674	Schoenus nigricans	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/schoenusnigricans
Drepanocladus aduncus	Bryophyta	10877	5.645467917	4.257036753	Drepanocladus aduncus	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/drepanocladusaduncus
Hypogymnia tubulosa	Ascomycota	10905	6.347841421	4.120303094	Hypogymnia tubulosa	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/hypogymniatubulosa
Lecidella stigmatea	Ascomycota	10917	6.5005333	4.489278754	Lecidella stigmatea	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/lecidellastigmatea
Asperula cynanchica	Tracheophyta	10930	10.04779854	2.647792275	Asperula cynanchica	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/asperulacynanchica
Flavoparmelia caperata	Ascomycota	10951	9.115260593	3.218907893	Flavoparmelia caperata	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/flavoparmeliacaperata
Heracleum sosnowskyi	Tracheophyta	10972	2.460813317	2.857146218	Heracleum sosnowskyi	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/heracleumsosnowskyi
Atriplex littoralis	Tracheophyta	10974	7.422501359	2.27565375	Atriplex littoralis	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/atriplexlittoralis
Vaccinium microcarpum	Tracheophyta	10976	3.020900521	3.331777075	Vaccinium microcarpum	SPECIES		
Plagiothecium denticulatum	Bryophyta	10981	5.50599345	3.611060131	Plagiothecium denticulatum	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/plagiotheciumdenticulatum
Zygodon viridissimus	Bryophyta	10982	8.009603867	1.89769584	Zygodon viridissimus	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/zygodonviridissimusvarviridissimus
Limonium vulgare	Tracheophyta	10997	11.91884657	3.665697227	Limonium vulgare	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/limoniumvulgare
Tortula acaulon	Bryophyta	10998	8.968475659	2.878341104	Tortula acaulon	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/phascumcuspidatum
Nerium oleander	Tracheophyta	11005	15.23442804	2.939106565	Nerium oleander	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/neriumoleander
Anemone ranunculoides	Tracheophyta	11046	7.423601812	2.543551379	Anemone ranunculoides	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/anemoneranunculoides
Cistus clusii	Tracheophyta	11048	14.13621262	2.589976751	Cistus clusii	SPECIES		
Veronica hederifolia subsp. lucorum	Tracheophyta	11070	8.35851931	1.41424124	Veronica hederifolia subsp. lucorum	SUBSPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/veronicahederifoliasubsplucorum
Carex capillaris	Tracheophyta	11094	2.233870948	4.006828189	Carex capillaris	SPECIES		
Silene uniflora	Tracheophyta	11109	6.225934167	4.212208051	Silene uniflora	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/sileneuniflora
Honckenya peploides	Tracheophyta	11110	5.793887382	3.969670541	Honckenya peploides	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/honckenyapeploides
Ophioglossum vulgatum	Tracheophyta	11121	8.314353948	2.480031408	Ophioglossum vulgatum	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/ophioglossumvulgatum
Silene acaulis	Tracheophyta	11152	2.016224867	4.225426044	Silene acaulis	SPECIES		
Asplenium adiantum-nigrum	Tracheophyta	11157	10.06309924	2.813635725	Asplenium adiantum-nigrum	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/aspleniumadiantumnigrum
Anthemis arvensis	Tracheophyta	11191	9.718999817	3.638829823	Anthemis arvensis	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/anthemisarvensis
Bunias orientalis	Tracheophyta	11195	7.002285243	2.527148193	Bunias orientalis	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/buniasorientalis
