"","species","STI","SD","5th_percentile","25th_percentile","75th_percentile","95th_percentile"
"1180","Carex laxa",-0.333628378230603,1.33290330683857,-1.28165001709057,-0.909717757415577,0.0853722914199572,0.847412902734014
"1181","Carex leersii",9.02498225140514,1.70961314780772,7.1721718894886,7.97169356241763,9.85846730073286,11.6697041967827
"1182","Carex leporina",6.94170468452057,2.4191256514841,2.43164638724691,5.67477292844693,8.38152613731557,10.4776875496827
"1183","Carex limosa",3.31075294315547,3.0211976883509,-1.07995539386401,0.733951233741624,5.96294762103506,7.67603401826805
"1184","Carex livida",1.75798142607227,2.16665159470648,-1.15928767618234,0.0963593716113234,3.32683315353524,5.25794537884414
"1185","Carex loliacea",2.5614560235791,2.38143062076976,-1.14749622669357,0.866357857825477,4.46246896729778,5.70668258813531
"1186","Carex lyngbyei",1.85616620173283,0.933440486433321,0.880147016183083,1.29342525814557,2.39908447531902,3.07599610580169
"1187","Carex mackenziei",3.16949615107095,2.37089027080929,-0.484130440041213,1.72473827177705,4.85247774660748,5.98961218919587
"1188","Carex macloviana",-0.487600440740219,1.03180383777049,-1.47683631138424,-1.00173180656617,-0.0547676331572621,0.689350507559699
"1189","Carex magellanica",2.46072761548632,2.80098694228974,-1.15512920922385,0.13091146662055,4.88070091344929,6.66879453759315
"1190","Carex magellanica subsp. irrigua",2.04888138628982,2.36159704271106,-1.68664379126487,0.430209728673979,3.76342848499011,5.36739513844482
"1191","Carex mairei",11.9774752727465,1.65185732241916,10.3811175077561,11.3509846091842,12.7375378608031,13.3380424785896
"1192","Carex maritima",2.48007257516134,3.26774642034724,-2.83381651699412,0.806187885796831,4.52398681545799,7.01880128440354
"1193","Carex media",0.312855751008249,1.46728892252699,-1.7621298873656,-0.564020354093856,1.28341714520388,1.95770523457514
"1194","Carex microglochin",0.837985299568712,1.81974682000875,-1.54718822033025,-0.165046570356744,1.76853046377264,3.34467209839324
"1195","Carex montana",7.2250337385127,1.3921783659182,5.73539604047836,6.26316698381759,8.03564505622692,9.46371151063195
"1196","Carex mucronata",5.61231515627862,0.807639338128396,5.15762929232669,5.35648829414631,5.72513012523307,6.2168886406155
"1197","Carex muricata",7.2514064640678,2.78179674027479,2.48819706882854,5.72558997507234,8.86233731767595,11.2399537962578
"1198","Carex nardina",-3.33314671764713,2.66416597669907,-5.88072812793992,-4.67167151598367,-1.95234641196065,-0.929985068227901
"1199","Carex nevadensis",10.2816620246724,0.140163331083026,10.2042248750095,10.2543926628401,10.3173034858964,10.3489412878598
"1200","Carex nigra",5.32470933885514,3.23712873756263,-0.327002644270511,2.71639792534291,7.79972593581012,9.56977566952567
"1201","Carex nigra subsp. juncea",1.37113141289805,2.26865659647947,-1.80819825231337,-0.237058429452425,2.75520334244642,5.26002615052711
"1202","Carex norvegica",0.333315566612049,1.71026730836321,-2.22443336059056,-0.772979891135611,1.37380560562938,2.88813300806706
"1203","Carex obtusata",7.68204994992464,0.0218579348907502,7.67386095589821,7.67488279896683,7.68399417887751,7.69900319277756
"1204","Carex ornithopoda",4.04818377742546,3.355949669757,-0.177720563542619,1.17250925952705,6.60761127380059,9.05503092427914
"1205","Carex pairae",8.38325213133003,1.64025956280797,6.46304273430792,7.32291902481997,9.31628782212056,10.7846385783942
"1206","Carex paleacea",4.69977315329732,1.74940304808662,2.28344783042251,3.76149190089449,5.83429958732518,6.44666688141451
"1207","Carex pallescens",5.99051463071904,2.8945723752147,0.695434985004002,4.15574105443745,7.95388692235598,10.3169759972655
"1208","Carex pallidula",3.24453046766635,0.504045104034514,2.9597414850963,3.06891795442645,3.39034492126001,3.61422675109977
"1209","Carex panicea",6.07425522731111,2.99252837927994,0.239146893924396,4.37402686547113,8.04896507325627,10.1348145734522
"1210","Carex paniculata",8.46810312460751,1.49241631698285,6.21203794308813,7.68619310216296,9.42454079331854,10.5418486105461
"1211","Carex parallela",-2.59760198489545,2.37407292465842,-5.68467095260722,-3.87254388703999,-1.20352168816313,-0.313616071998741
"1212","Carex parviflora",4.7671120547941,1.44621752476331,3.57695276106538,4.07361441697532,5.49270009262036,6.03093703739662
"1213","Carex pauciflora",2.82528506006518,2.72193559174941,-0.894043191428082,0.562607340236008,5.16285880598203,7.05419414926692
"1214","Carex pediformis",2.97326643895977,0.794137476767325,2.45558462975045,2.70608228885943,3.20419505760964,3.5349163969467
"1215","Carex pendula",9.78343312884964,2.16590843918388,7.06777218138726,8.4945504776492,10.3829166472293,14.3499916611574
"1216","Carex pilosa",7.8233877580061,1.50102682291296,6.5689675923582,7.12917999576868,8.41364300657159,9.47563828604951
"1217","Carex pilulifera",6.9633729286891,2.48888836910971,2.15433565761551,5.73201679627994,8.50955200332302,10.5353849564256
"1218","Carex praecox",8.36158369600975,1.92578015041401,6.04824511039792,7.41194654518016,9.38671207737283,10.5414110927937
"1219","Carex pseudocyperus",8.39848696397592,1.70369720817189,5.77606820393776,7.20352835777938,9.63006335253773,10.6655111353149
"1220","Carex pulicaris",6.96169444084391,1.70048941919402,4.04541463526021,6.08160107454658,7.87745144635266,9.54851624572402
"1221","Carex punctata",10.0242975404459,2.37097511440499,7.75932761484859,8.75609720886265,11.2159173141728,12.6254730230937
"1222","Carex randalpina",7.78644219735321,0.562754337033149,7.53441382571966,7.63753623998377,7.87823425123117,8.11177493780382
"1223","Carex rariflora",1.06356866132666,1.76137671378453,-1.83580578867976,0.0956479874215484,2.17339293140894,3.58746898282198
"1224","Carex remota",8.4955588214652,1.73122629854038,5.86669056522217,7.34904112840388,9.7217799807968,10.8357290230296
"1225","Carex riparia",9.12607421724174,1.49051644751151,6.77412478170056,8.16754300237951,10.0880533977201,10.8551041342285
